Ticker,Name,Category,Weight,Volume,Tier
MWF,waferMedium,electronic pieces,0.008,0.008,3.0
N,nitrogen,gases,0.807,1.0,0.0
,sodium,elements,0.97,1.0,
NAB,sodiumBorohydride,chemicals,0.1,0.05,2.0
NCS,nanoCarbonSheeting,construction materials,0.028,0.01,3.0
NE,neon,gases,0.9,1.0,0.0
NF,networkingFramework,software components,0.001,0.01,3.0
NFI,nanoFiber,construction materials,0.032,0.01,3.0
NG,nanoGlass,construction materials,0.022,0.01,2.0
NL,nylon,textiles,1.13,1.0,2.0
NN,neuralNetwork,software tools,0.001,0.01,4.0
NOZ,basicNozzle,ship engines,3.0,1.5,5.0
NR,nanoResin,chemicals,0.05,0.05,3.0
NS,nutrientSolution,chemicals,0.6,0.5,2.0
NST,scientistLuxuryHealth,consumables (luxury),0.05,0.05,3.0
NUT,fattyNuts,agricultural products,0.9,1.0,1.0
NV1,navigation1,ship parts,4.2,2.0,4.0
NV2,navigation2,ship parts,6.7,3.0,5.0
O,oxygen,gases,1.141,1.0,3.0
OFF,officeSupplies,utility,0.02,0.2,1.0
OLF,olfactorySubstances,chemicals,0.01,0.001,2.0
OS,operatingSystem,software tools,0.001,0.01,4.0
OVE,pioneerClothing,consumables (basic),0.02,0.025,1.0
PBU,pioneerBundle,consumable bundles,13.0,8.0,2.0
PCB,printedCircuitBoard,electronic parts,0.05,0.05,3.0
PDA,engineerTools,consumables (basic),0.002,0.002,4.0
PE,polyEthylene,plastics,0.01,0.01,1.0
PFE,premiumFertilizer,chemicals,0.9,1.0,2.0
PFG,polarityFieldGenerator,infrastructure,80.0,65.0,5.0
PG,polymerGranulate,plastics,0.002,0.001,2.0
PIB,pineberries,agricultural products,0.3,1.0,3.0
PK,painkillers,medical equipment,0.001,0.001,3.0
POW,powerCell,energy systems,0.05,0.1,3.0
PPA,proteinPaste,agricultural products,2.0,1.0,1.0
PSH,pressureShielding,construction parts,4.2,0.8,3.0
PSL,largePlasticsBoard,plastics,0.08,0.8,2.0
PSM,mediumPlasticsBoard,plastics,0.04,0.4,2.0
PSS,smallPlasticsBoard,plastics,0.01,0.1,2.0
PT,settlerTools,consumables (basic),0.25,0.2,1.0
PWO,pioneerLuxuryClothing,consumables (luxury),0.05,0.05,1.0
QCR,quickChargeReactor,ship engines,14.0,10.0,5.0
RAD,radioDevice,electronic devices,0.003,0.005,2.0
RAG,radioisotopeGenerator,ship engines,5.0,3.4,3.0
RAM,memoryBank,electronic parts,0.001,0.001,3.0
RAT,rations,consumables (basic),0.21,0.1,1.0
RBH,reinforcedBulkhead,construction prefabs,2.4,0.9,3.0
RCO,cottonRaw,agricultural products,0.95,1.0,1.0
RCS,reactorControlSystem,ship engines,0.67,0.5,4.0
RCT,standardReactor,ship engines,7.0,4.0,5.0
RDE,reinforcedDeckElements,construction prefabs,1.4,1.5,3.0
RDL,largeShipRepairDroneUnit,unit prefabs,150.0,30.0,2.0
RDS,smallShipRepairDroneUnit,unit prefabs,50.0,10.0,2.0
RE,rhenium,metals,3.2,1.0,1.0
REA,chemicalReagents,chemicals,0.05,0.05,2.0
RED,rescueDrone,drones,0.3,0.05,4.0
REO,rheniumOre,ores,12.8,1.0,0.0
REP,settlerLuxuryTools,consumables (luxury),0.006,0.002,1.0
RG,reinforcedTranslucentMaterial,construction materials,0.032,0.01,2.0
RGO,goldCopperAlloy,alloys,19.32,1.0,2.0
RHP,reinforcedHullPlate,ship parts,10.0,10.0,3.0
ROM,nonVolatileMemory,electronic parts,0.001,0.001,3.0
RSE,reinforcedStructuralElements,construction prefabs,1.9,0.7,3.0
RSH,radiationShielding,construction parts,3.7,0.8,4.0
RSI,silkRaw,agricultural products,1.1,1.0,3.0
RTA,reinforcedWindow,construction prefabs,1.5,0.5,3.0
S,sulfur,elements,0.52,0.25,1.0
SA,searchAlgorithm,software components,0.001,0.01,3.0
SAL,sortingAlgorithm,software components,0.001,0.01,3.0
SAR,sensorArray,electronic devices,1.7,2.0,3.0
SBU,settlerBundle,consumable bundles,20.0,13.0,2.0
SC,technicianLuxuryHealth,consumables (luxury),0.04,0.01,2.0
SCB,smallCargoBay,ship kits,50.0,50.0,3.0
SCN,technicianTools,consumables (basic),0.001,0.001,2.0
SCR,sulfurCrystals,minerals,2.05,1.0,0.0
SDM,shockwaveDampeningModule,infrastructure,500.0,500.0,4.0
SDR,surgicalDrone,drones,0.3,0.05,4.0
SEA,sealant,construction materials,0.15,0.07,1.0
SEN,sensor,electronic parts,0.001,0.001,3.0
SEQ,surgicalEquipment,medical equipment,0.001,0.01,2.0
SF,stlFuel,fuels,0.06,0.06,2.0
SFE,smallEmitter,ship engines,0.1,0.4,3.0
SFK,fastenerKitSmall,electronic pieces,0.04,0.02,2.0
SFL,smallFtlTank,ship kits,9.0,1.5,3.0
SI,silicon,metals,2.329,1.0,1.0
SIL,silkProcessed,textiles,1.21,1.0,2.0
SIO,siliconOre,ores,1.79,1.0,4.0
SNM,universeMap,software systems,0.001,0.01,5.0
SOI,artificialSoil,chemicals,0.9,1.0,2.0
SOL,solarCell,energy systems,0.015,0.01,3.0
SP,solarPanel,energy systems,0.15,0.1,3.0
SPT,spaceTether,infrastructure,1.8,5.0,2.0
SRD,shipRepairDrone,drones,0.3,0.05,4.0
SRP,specializedRadiationShielding,ship shields,0.1,0.2,4.0
SSC,structuralSpacecraftComponent,ship parts,1.0,1.0,1.0
SSL,smallStlTank,ship kits,20.0,20.0,3.0
SST,singularityStabilizer,infrastructure,1500.0,500.0,5.0
STL,steel,metals,7.85,1.0,1.0
STR,medicalStretcher,medical equipment,0.01,1.0,1.0
STS,stabilitySupportSystem,electronic systems,0.1,0.1,5.0
SU,surgeryUnit,unit prefabs,6.0,5.0,2.0
SUD,surveillanceDrone,drones,0.3,0.05,4.0
SUN,safetyUniform,utility,0.05,0.05,1.0
SWF,waferSmall,electronic pieces,0.003,0.003,3.0
TA,tantalum,elements,16.65,1.0,4.0
TAC,targetingComputer,electronic systems,0.15,1.0,5.0
TAI,tantalite,minerals,7.94,1.0,0.0
TBU,technicianBundle,consumable bundles,24.0,16.0,2.0
TC,technetium,elements,11.8,1.0,3.0
TCB,tinyCargoBay,ship kits,20.0,20.0,3.0
TCL,tclAcid,chemicals,0.09,0.1,3.0
TCO,technetiumOxide,minerals,9.8,1.0,0.0
TCS,technetiumStabilizers,construction parts,3.4,1.2,3.0
TCU,traumaCareUnit,unit prefabs,5.0,4.0,2.0
THF,thermoFluid,chemicals,0.6,0.35,3.0
THP,basicThermalProtectionMaterial,ship parts,2.2,1.0,1.0
TI,titanium,metals,4.5,1.0,1.0
TIO,titaniumOre,ores,1.58,1.0,0.0
TK,technoKevlar,textiles,1.89,1.0,2.0
TOR,torusSegment,infrastructure,700.0,200.0,1.0
TPU,tensorProcessingUnit,electronic parts,0.002,0.002,3.0
TRA,audioTransmitter,electronic parts,0.005,0.002,3.0
TRN,transistor,electronic pieces,0.001,0.001,3.0
TRS,tensionReliefStructure,infrastructure,50.0,50.0,4.0
TRU,truss,construction parts,0.1,1.5,1.0
TS,tectosilisite,minerals,2.4,1.0,0.0
TSH,thermalShielding,construction parts,2.4,1.5,4.0
TUB,testTubes,medical equipment,0.002,0.002,2.0
UTS,universalToolset,utility,0.05,0.05,2.0
VCB,highVolumeCargoBay,ship kits,200.0,200.0,3.0
VEG,fattyVegetables,agricultural products,1.1,1.0,1.0
VF,vortexStimulationFuel,fuels,0.1,0.1,2.0
VFT,vortexFuelTank,ship kits,1000.0,1000.0,3.0
VG,engineerLuxuryHealth,consumables (luxury),0.21,0.1,3.0
VIT,vitaEssence,agricultural products,0.9,1.0,2.0
VOE,vortexEngine,ship engines,40.0,35.0,5.0
VOR,vortexReactor,ship engines,35.0,30.0,3.0
VSC,verySmallCargoBay,ship kits,35.0,35.0,3.0
W,wolfram,metals,7.519,1.0,4.0
WAI,weakArtificalIntelligence,software systems,0.001,0.01,5.0
WAL,tungstenAluminiumAlloy,alloys,6.25,1.0,4.0
WCB,highLoadCargoBay,ship kits,200.0,200.0,3.0
WIN,scientistLuxuryDrink,consumables (luxury),0.1,0.1,2.0
WM,windowManager,software components,0.001,0.01,3.0
WOR,handcraftWorkshopUnit,unit prefabs,5.0,5.0,2.0
WR,waterRecycler,electronic systems,6.4,5.0,4.0
WRH,wolfrhenium,alloys,6.92,1.0,4.0
WS,scientistTools,consumables (basic),0.05,0.5,4.0
ZIR,zircon,minerals,4.85,1.0,0.0
ZR,zirconium,elements,6.53,1.0,4.0
